Unnamed: 0,title,genres
229,the reign of greed,"{'romance', 'literary-fiction', 'adventure', 'history', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', 'politics', 'unfinished', 'school', 'non-fiction', 'read-for-school', 'adult', 'historical'}"
230,histoire de la revolution,"{'romance', 'education', 'history', 'fiction', 'politics', 'historical-fiction', 'war', 'non-fiction', 'unfinished', 'historical'}"
231,les chasseurs de chevelures,"{'adventure', '21st-century', 'literary-fiction', 'classics', 'fantasy', 'fiction', '20th-century', 'american'}"
232,a history of freedom of thought,"{'history', 'religion', 'philosophy', 'fiction', 'non-fiction'}"
233,tine,"{'contemporary', 'literary-fiction', 'history', 'roman', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'war', 'historical'}"
234,tartarin de tarascon,"{'fiction', 'roman', 'novels'}"
235,a desperate chance,"{'romance', 'contemporary', 'chick-lit', 'amazon', 'realistic-fiction', 'college', 'contemporary-romance', 'music', 'drama', 'new-adult'}"
236,a life of gen robert e lee,"{'history', 'biography', 'classics', 'fiction', 'politics', '20th-century', 'non-fiction', 'historical'}"
237,character writings,{'non-fiction'}
238,a christmas mystery,"{'literary-fiction', 'christmas', 'mystery', 'novella', 'family', 'mystery-thriller', 'chick-lit', 'amazon', 'short-stories', 'fiction', 'drama', 'historical'}"
239,miscellaneous essays,"{'fiction', 'realistic-fiction', 'essays', 'non-fiction'}"
240,prince zaleski,"{'literary-fiction', 'crime', 'mystery', 'classics', 'fantasy', 'short-stories', 'fiction', '20th-century', 'historical-fiction', 'adult-fiction'}"
